date,trans_amount,date_id,item_id,user_id
2013-02-11,35,637,0,0
2015-03-15,39,1399,0,1
2013-02-26,52,652,0,2
2011-11-16,99,184,0,3
2013-11-20,78,919,0,4
2014-03-26,81,1045,0,5
2012-02-06,93,266,0,6
2015-01-30,89,1355,0,7
2013-01-08,76,603,0,8
2013-08-20,75,827,0,9
2013-07-02,94,778,0,10
2013-03-25,80,679,0,11
2012-11-03,59,537,0,12
2013-05-12,43,727,0,13
2014-12-29,78,1323,0,14
2014-01-15,98,975,0,15
2013-07-08,81,784,0,16
2013-12-30,93,959,0,17
2014-07-20,103,1161,0,18
2011-07-09,96,54,0,19
2013-03-05,75,659,0,20
2013-01-09,49,604,0,21
2013-02-06,54,632,0,22
2012-03-27,48,316,0,23
2012-01-01,98,230,0,24
2013-03-23,37,677,0,25
2013-04-29,72,714,0,26
2012-11-02,83,536,0,27
2011-10-24,81,161,0,28
2011-12-05,105,203,0,29
2015-02-27,77,1383,0,30
2015-02-21,71,1377,0,31
2013-08-22,48,829,0,32
2012-03-31,70,320,0,33
2012-01-27,70,256,0,34
2013-01-09,36,604,0,35
2013-10-07,48,875,0,36
2014-03-06,87,1025,0,37
2012-12-02,88,566,0,38
2012-03-09,39,298,0,39
2014-05-18,51,1098,0,40
2015-01-13,47,1338,0,41
2014-11-24,37,1288,0,42
2012-02-04,80,264,0,43
2013-03-08,105,662,0,44
2012-11-05,78,539,0,45
2014-04-12,45,1062,0,46
2012-12-28,79,592,0,47
2013-06-29,59,775,0,48
2014-06-19,55,1130,0,49
2011-12-23,94,221,0,50
2011-06-26,69,41,0,51
2014-06-05,78,1116,0,52
2012-11-14,59,548,0,53
2013-02-22,98,648,0,54
2014-08-31,88,1203,0,55
2012-03-12,35,301,0,56
2011-06-05,40,20,0,57
2013-02-04,53,630,0,58
2011-09-19,55,126,0,59
2012-05-20,86,370,0,60
2012-04-13,93,333,0,61
2011-12-04,79,202,0,62
2014-07-27,94,1168,0,63
2012-01-28,63,257,0,64
2013-08-23,91,830,0,65
2014-12-09,101,1303,0,66
2012-08-30,69,472,0,67
2014-11-25,41,1289,0,68
2012-05-19,67,369,0,69
2014-06-21,45,1132,0,70
2011-05-20,71,4,0,71
2012-05-06,91,356,0,72
2012-07-30,49,441,0,73
2011-11-25,101,193,0,74
2011-12-01,64,199,0,75
2014-12-02,77,1296,0,76
2011-05-30,101,14,0,77
2012-05-23,67,373,0,78
2014-10-12,40,1245,0,79
2013-05-01,76,716,0,59
2012-10-19,103,522,0,80
2011-07-09,54,54,0,81
2012-01-26,77,255,0,82
2013-01-30,41,625,0,83
2015-01-29,38,1354,0,84
2014-08-14,102,1186,0,85
2013-09-27,89,865,0,86
2013-07-02,48,778,0,87
2013-09-22,64,860,0,88
2013-12-08,44,937,0,89
2011-11-15,70,183,0,90
2012-01-27,53,256,0,91
2011-07-10,82,55,0,92
2011-08-16,87,92,0,93
2011-11-07,64,175,0,94
2012-09-11,89,484,0,95
2014-09-09,87,1212,0,96
2013-09-04,98,842,0,97
2014-10-15,67,1248,0,98
2012-10-29,48,532,0,99
2014-06-02,102,1113,0,100
2014-07-02,56,1143,0,101
2013-12-23,50,952,0,102
2011-12-23,56,221,0,103
2014-08-27,91,1199,0,104
2014-08-07,104,1179,0,105
2012-02-19,41,279,0,106
2012-05-01,92,351,0,107
2012-03-24,63,313,0,108
2014-04-09,52,1059,0,109
2011-12-01,38,199,0,110
2011-09-26,95,133,0,111
2015-01-07,50,1332,0,112
2014-02-08,40,999,0,32
2013-04-03,81,688,0,113
2014-12-29,49,1323,0,114
2013-01-04,39,599,0,115
2015-02-15,55,1371,0,116
2012-11-03,37,537,0,117
2013-02-11,89,637,0,118
2013-03-07,48,661,0,119
2014-06-13,40,1124,0,120
2015-01-30,46,1355,0,121
2011-11-13,90,181,0,122
2011-09-11,67,118,0,123
2011-10-11,87,148,0,124
2013-09-28,73,866,0,125
2011-12-26,46,224,0,126
2012-09-28,42,501,0,127
2011-12-26,65,224,0,128
2011-12-14,69,212,0,129
2013-08-17,39,824,0,130
2014-07-27,72,1168,0,131
2014-11-02,62,1266,0,132
2013-09-22,66,860,0,133
2014-06-04,84,1115,0,134
2012-02-01,91,261,0,135
2011-11-11,48,179,0,136
2012-04-13,71,333,0,137
2014-05-03,79,1083,0,138
2013-03-02,104,656,0,139
2015-03-06,82,1390,0,140
2015-02-01,51,1357,0,141
2014-11-21,41,1285,0,142
2014-12-29,83,1323,0,143
2015-03-07,54,1391,0,144
2013-09-29,73,867,0,145
2013-06-19,54,765,0,146
2011-09-18,52,125,0,147
2015-01-15,95,1340,0,148
2012-06-28,38,409,0,149
2012-10-15,35,518,0,150
2013-02-17,74,643,0,151
2012-01-02,99,231,0,152
2011-09-08,44,115,0,153
2014-06-17,105,1128,0,154
2014-09-17,66,1220,0,155
2012-06-04,56,385,0,156
2013-08-02,42,809,0,157
2011-09-11,44,118,0,158
2011-09-25,70,132,0,159
2013-03-17,36,671,0,160
2014-05-20,104,1100,0,161
2014-04-05,71,1055,0,162
2011-11-18,104,186,0,163
2014-11-11,91,1275,0,164
2012-11-13,96,547,0,165
2011-05-18,69,2,0,166
2012-05-23,92,373,0,167
2015-03-14,94,1398,0,168
2013-05-05,80,720,0,169
2011-12-13,86,211,0,170
2011-12-08,59,206,0,171
2013-04-04,83,689,0,172
2014-07-19,80,1160,0,173
2013-10-18,89,886,0,174
2012-12-29,64,593,0,175
2011-11-19,70,187,0,176
2014-08-12,96,1184,0,177
2011-12-08,71,206,0,178
2012-08-30,96,472,0,179
2015-01-22,42,1347,0,180
2011-08-23,81,99,0,181
2012-04-04,67,324,0,182
2015-01-25,69,1350,0,41
2014-02-23,92,1014,0,29
2014-01-11,42,971,0,183
2013-08-25,103,832,0,184
2014-08-18,89,1190,0,185
2011-10-02,39,139,0,186
2014-03-18,104,1037,0,187
2012-11-17,83,551,0,188
2014-04-27,102,1077,0,189
2013-11-17,42,916,0,190
2013-10-26,56,894,0,191
2013-07-17,59,793,0,192
2013-07-20,90,796,0,193
2013-10-22,37,890,0,194
2012-06-04,90,385,0,195
2012-12-06,84,570,0,196
2012-06-28,94,409,0,197
2014-09-02,71,1205,0,198
2013-10-23,48,891,0,199
2013-04-14,89,699,0,200
2012-09-24,54,497,0,201
2011-09-29,74,136,0,202
2012-12-23,102,587,0,203
2013-09-04,64,842,0,204
2012-01-07,88,236,0,205
2013-10-07,66,875,0,206
2013-07-16,105,792,0,207
2013-04-12,99,697,0,208
2014-02-25,66,1016,0,209
2012-02-19,38,279,0,210
2013-08-12,37,819,0,211
2012-09-09,100,482,0,212
2012-09-11,82,484,0,213
2013-04-21,85,706,0,214
2012-03-13,89,302,0,69
2012-02-09,56,269,0,215
2014-08-10,87,1182,0,195
2011-12-12,72,210,0,216
2011-06-21,102,36,0,217
2012-06-03,42,384,0,218
2012-09-01,96,474,0,219
2012-04-23,86,343,0,220
2013-07-16,66,792,0,221
2012-05-19,77,369,0,222
2011-09-03,97,110,0,223
2012-06-03,55,384,0,224
2013-02-10,72,636,0,225
2012-03-23,79,312,0,226
2014-07-11,97,1152,0,227
2013-12-29,73,958,0,228
2013-09-17,48,855,0,229
2012-08-10,66,452,0,230
2011-07-15,51,60,0,231
2011-07-12,90,57,0,232
